Judul,Perusahaan,Lokasi,Gaji,Tanggal,Tipe Pekerjaan,Fungsi Pekerjaan,Jenjang Karir,Pengalaman Minimal,Tingkat Pendidikan,Jurusan Pendidikan,Deskripsi Pekerjaan,Deskripsi Persyaratan,Deskripsi Perusahaan,Gaji Minimum,Gaji Maksimum
Driver,PT Bina Talenta,KOTA TANGERANG SELATAN,"Rp 4,9 juta - Rp 5 juta/bulan",2025-04-16,Tidak Disebutkan,Supir,Pemula / Staf,2 tahun,SMA,Semuanya,"Mengemudikan kendaraan perusahaan termasuk sebagai supir direksi
Memastikan kendaraan selalu dalam kondisi prima termasuk pemeriksaan rutin sebelum dan sesudah digunakan oli ban air radiator dsb
Menjaga kebersihan dan kerapian kendaraan baik interior maupun eksterior terutama kendaraan direksi dan operasional harian
Mematuhi seluruh peraturan lalu lintas serta prosedur keselamatan berkendara yang berlaku
Menjaga sikap profesional dan membina hubungan baik dengan pelanggan supplier maupun pihak eksternal lainnya
Melaporkan secara langsung kepada atasan apabila terjadi insiden kerusakan kendaraan keterlambatan atau kendala lain selama bertugas","Minimal SMAsederajat
    Memiliki Surat Izin Mengemudi SIM A aktif
    Minimal 2 tahun pengalaman kerja sebagai Driver
    Terampil dalam mengoperasikan berbagai jenis kendaraan
    Memahami rute jalan dan mampu menavigasi dengan efisien seperti google maps waze
    Memiliki pengetahuan tentang prosedur keselamatan berkendara
    Memiliki keterampilan komunikasi yang baik dan penyabar",An outsourcing company specialized in Banking and financial industry,4900000.0,5000000.0
Financial Advisor Surabaya,PT Sumberdaya Dian Mandiri,Surabaya,Gaji di atas ekspektasi,2025-04-16,Tidak Disebutkan,Kredit / Pinjaman,Pemula / Staf,1 tahun,"S1, D3, SMA",Semuanya,"Melakukan kunjungan nasabahcalon nasabah
Memberikan penawaran kredit micro kepada konsumen
Melakukan monitoring terhadap penmbiayaan kredit nasabah dan memastikan pembayaran tepat waktu
Menerima keluhan nasabah dan melakukan penanganan keluhan dengan baik","Pria dan Wanita
Usia Maks 35 Tahun
Pendidikan Min SMA  Sederajat
Memiliki pengalaman Sales Marketing
Memiliki SIM C Aktif
Memiliki kendaraan pribadi
Terbiasa bekerja di lapangan dan target",As one of the leading and recognized service provider for industrial and commercial projects with over 10 years of experiences pt Sdm today employees more than 5000 employees working in various companies local and multinational corporation Since its establishment in early 2000 as a subsidiary company of PT Tunaskarya Indoswasta pt Sdm grows provides various type of consultancy services as its core capabilities and competencies and has a very strong commitment to deliver quality in service to all its clients With offices in Jakarta Bandung Semarang Yogyakarta Surabaya Malang Palembang Padang Batam and Bintan we commit to do our best for Clients,,
Tenaga Pemasar Bank,PT Puriasri Bhaktikarya,Prov. DKI-Jakarta,"Rp 5 juta - Rp 5,3 juta/bulan",2025-04-16,Tidak Disebutkan,Kredit / Pinjaman,Pemula / Staf,1 tahun,D3,Semuanya,"Menjalankan tugas pemasaran produk dan layanan Bank DKI kepada calon nasabah
Mengelola hubungan dengan nasabah dan mitra terkait untuk meningkatkan volume pemasaran
Mencapai target pemasaran sesuai dengan segmen yang telah ditentukan oleh Bank DKI
Melaksanakan proses rekrutmen dan seleksi serta pelatihan produk dan prosedur yang berlaku di Bank DKI
Memastikan kepatuhan terhadap regulasi yang berlaku serta menjaga kerahasiaan informasi yang berkaitan dengan Bank DKI","Lakilaki atau perempuan usia antara 21  35 tahun
Pendidikan minimal Diploma 3 D3 dengan IPK minimal 250 dari skala 400
Pengalaman minimal 1 tahun di bidang pemasaran khususnya di sektor perbankan asuransi atau produk mikro dan funding
Jujur berintegritas tinggi dan memiliki motivasi tinggi untuk mencapai target
Berpenampilan menarik dinamis komunikatif dan energik
Memiliki jaringan luas dan kemampuan dalam pemasaran
Memiliki kendaraan roda 2 dan SIM C untuk tenaga pemasar
Bersedia mengikuti pelatihan produk dan proses kerja di Bank DKI",PT Puriasri Bhaktikarya atau disingkat PT PaBk adalah perusahaan swasta nasional yang didirikan padatahun 1992 merupakan kelompok usaha Yayasan Kesejahteraan Pensiunan Bank Exim dengan kegiatan usaha di Bisnis Alih Daya Training dan Consulting,5000000.0,5300000.0
Staff HRD,PT Peroni Karya Sentra,Mojokerto,Rp 5 juta - Rp 6 juta/bulan,2025-04-16,Tidak Disebutkan,Sumber Daya Manusia,Pemula / Staf,5 tahun,S1,"Hukum, Manajemen, Psikologi","Rekrutmen pelatihan pengelolaan data dan evaluasi kinerja karyawan 
Bertugas untuk menjaga hubungan baik antara karyawan dan perusahaan","Usia Max 35 tahun
Pendidikan S1 di bidang Psikologi Manajemen atau Hukum
Pengalaman kerja Min 5 tahun di bidang HR
Mahir menggunakan Microsoft Office Word Excel dan Powerpoint
Mampu berkomunikasi dengan baik teliti dan dapat bekerja secara mandiri maupun dalam tim
Memahami undangundang ketenagakerjaan
Jujur berintegritas tanggung jawab dan memiliki loyalitas yang tinggi",Founded in 1997 with foreign investment from Taiwan PT Peroni Karya Sentra has grown to become Indonesias leading manufacturer of stainless steel flanges With a diverse product range that includes stainless steel and aluminum flanges pipe fittings valves and customdesigned components we have established a global reputation for quality and reliability over the past 27 years Our products serve a wide variety of industries worldwide consistently meeting the highest standards Our relentless pursuit of Excellent Quality is driven by significant investments in advanced technology and a commitment to continuous innovation We maintain strict adherence to our Quality Assurance System which includes ISO 90012015 certification as well as REACH and RoHS compliance ensuring that every product we deliver meets the most stringent international standards,5000000.0,6000000.0
Sales Excecutive,PT Alto Sentosa,Tangerang,Gaji di atas ekspektasi,2025-04-16,Tidak Disebutkan,Pemasaran (Teknis),Pemula / Staf,1 tahun,"S1, SMA","Manajemen Komunikasi, Pemasaran","Menjelaskan dan menjual produk serta menjalin hubungan yang baik dengan customer
Rajin membangun jaringan pribadi serta terus mau belajar tentang teknik penjualan
Mencari prospek calon customer dan mempresentasikan tentang produk
Berkontribusi dalam team agar mencapai target bulanan dan tahunan
Mengidentifikasi kebutuhan pelanggan dan menawarkan solusi yang sesuai
Membuat presentasi produk dan demo teknis kepada pelanggan
Mengkoordinasikan dengan tim teknis untuk memastikan kebutuhan pelanggan terpenuhi
Mengembangkan pengetahuan tentang produk dan teknologi yang terkait
Mengikuti target penjualan dan memenuhi kinerja penjualan","Usia maksimal 35 Tahun
Pendidikan Minimal SMA atau D3S1 bidang  teknik atau pemasaran
Pengalaman minimal 13 tahun dalam bidang penjualan 
Fresh Graduatelulusan baru dipersilahakan melamar
Mampu Berkomunikasi dengan baik
Memiliki SIM A atau C
Rajin Tekun
Dapat bekerja di bawah tekanan
Kemampuan komunikasi dan presentasi yang baik
Kemampuan analisis dan problemsolving yang kuat
Kemampuan bekerja sama dengan tim dan membangun hubungan dengan pelanggan",We make your factory runs better PT Alto Sentosa adalah perusahaan yang bergerak di bidang Repair dan Service untuk Industrial Electronic Repair yang memberikan jasa perbaikan seperti  Inverter Drives Servo Drives Control Card HMI Touchscreen Alat Instrumentasi PLC dsb Dengan team teknisi yang handal sistem management yang dikelola secara professional simulasi test serta penggunaan sparepart yang berkualitas Kami mampu memberikan jasa service yang berkualitas serta harga yang kompetitif Komitmen kami adalah Profesional Good Service  dipercaya dalam Industrial Electronic Repair  maintenance bisnis httpswwwyoutubecomwatchv3AlfQd5c2oppygUPcHQgYWx0byBzZW50b3Nh,,
SALES MOTORIS (CANVAS),PT Super Big Oke (Go Day Jakarta Timur),Jakarta Timur,Rp 4 juta - Rp 7 juta/bulan,2025-04-16,Tidak Disebutkan,Penjualan dan Pemasaran,Pemula / Staf,1 tahun,SMA,Pemasaran,"Deskripsi Pekerjaan Sales Motoris
Kami mencari Sales yang dinamis dan berdedikasi untuk bergabung dengan tim kami Tanggung jawab utama termasuk
Memahami produk secara menyeluruh jenis produk karakteristik keunggulan
Menjaga penampilan rapi dan sopan selalu tersenyum serta memakai seragam perusahaan
Melakukan kunjungan ke tokotoko menawarkan sampel produk dan melakukan demonstrasi
Menjalin hubungan baik dengan pemilik toko dan menjelaskan keuntungan produk kami
Menyusun dan mengatur penataan produk di toko sesuai standar perusahaan
Mengambil foto penataan produk dan mengirimkannya untuk pemeriksaan
Menempelkan poster di toko untuk promosi produk
Melakukan tindak lanjut untuk memastikan kepuasan pelanggan dan pencapaian target penjualan","Kualifikasi
Pengalaman dibidang penjualan atau pemasaran
Wnita lebih di utamakan
Memiliki motor pribadi
Memiliki HP Android
Kemampuan komunikasi yang baik dan kemampuan untuk membangun hubungan yang kuat dengan pelanggan
Berpenampilan rapi dan sopan
Berorientasi pada hasil dan mampu bekerja dengan target penjualan
Mampu bekerja secara mandiri maupun dalam tim",GODAY INDONESIA didirikan pada April 2023 merupakan perusahaan yang bergerak di industri makanan berlokasi di Pantai Indah Kapuk Penjaringan Jakarta Utara Perusahaan ini berfokus pada penelitian dan pengembangan produksi serta penjualan makanan seperti kue roti dan makanan ringan Saat ini perusahaan memiliki dua pabrik yaitu di Kendal Semarang dan Bukit Indah Purwakarta dengan total investasi lebih dari ratusan juta RMB triliunan Rupiah Pabrik kami telah mendapatkan sertifikasi sistem manajemen keamanan pangan menggunakan peralatan produksi otomatis dan sistem kontrol cerdas Kami berkomitmen untuk menjadi perusahaan industri makanan besar yang inovatif dengan mengutamakan konsumen mempertahankan kualitas menjadikan inovasi sebagai daya saing utama dan menetapkan standar internasional sebagai kekuatan norma baru Kami berupaya memberikan produk yang lebih berkualitas kepada konsumen Pengenalan produk Sebelum Penjualan Kami adalah merek baru berdiri dengan pemilik yang sama dengan es krim AICE Tim penjualan internal perusahaan telah mendistribusikan produk secara luas di Pulau Jawa mencakup lebih dari 100000 titik jaringan penjualan Sementara itu distribusi di pulaupulau lain juga sedang dikembangkan secara bertahap Produk kita didukung oleh para perencana strategi global sementara tim pengembangan produk terdiri dari profesional yang berpengalaman dibidangnya Produk baru kami diluncurkan dengan cepat memiliki rasa yang enak dan berpotensi besar untuk berkembang di masa depan dengan keuntungan yang menjanjikan Benefit  Gaji Pokok Bonus,4000000.0,7000000.0
Staff Marketing Export,PT Peroni Karya Sentra,Mojokerto,Rp 5 juta - Rp 7 juta/bulan,2025-04-16,Tidak Disebutkan,Penjualan dan Pemasaran,"Pemula / Staf, Staf Senior",3 tahun,S1,Bahasa Inggris,Mencari pelanggan dan order baru mengatur pengiriman dan berkoordinasi dengan berbagai pihak terkait,"Usia Maksimal 30 tahun
Pendidikan Min Sarjana S1 diutamakan yang Jurusan Sastra Inggris
Diutamakan yang memiliki pengalaman kerja di perusahaan manufaktur
Mahir Bahasa Inggris baik lisan dan tulisan wajib melampirkan sertifikat TOEFL atau sejenisnya
Mahir menggunakan program Microsoft Office Word Excel dan Photoshop
Mampu bekerja dalam teamwork maupun individu serta siap bekerja dibawah tekanan
Jujur berintegritas tanggung jawab dan memiliki loyalitas yang tinggi
Bersedia kerja overtime",Founded in 1997 with foreign investment from Taiwan PT Peroni Karya Sentra has grown to become Indonesias leading manufacturer of stainless steel flanges With a diverse product range that includes stainless steel and aluminum flanges pipe fittings valves and customdesigned components we have established a global reputation for quality and reliability over the past 27 years Our products serve a wide variety of industries worldwide consistently meeting the highest standards Our relentless pursuit of Excellent Quality is driven by significant investments in advanced technology and a commitment to continuous innovation We maintain strict adherence to our Quality Assurance System which includes ISO 90012015 certification as well as REACH and RoHS compliance ensuring that every product we deliver meets the most stringent international standards,5000000.0,7000000.0
Pelaksana lapangan,CV Pison Indograha,Surabaya,"Rp 3,5 juta - Rp 5 juta/bulan",2025-04-16,Tidak Disebutkan,"Teknik, Sipil",Pemula / Staf,3 tahun,D3,Teknik Sipil," Memahami gambar desain dan spesifikasi teknis sebagai pedoman dalam melaksanakan pekerjaan dilapangan
 Membuat program kerja mingguan dan mengadakan pengarahan kegiatan harian kepada mandor maupun tenaga kerja
 Mengkoordinasikan kebutuhan material kebutuhan tenaga kerja
 Mengadakan evaluasi dan membuat laporan hasil pelaksanaan pekerjaan dilapangan
 Mengupayakan efisiensi dan efektifitas pemakaian bahan tenaga dan alat di lapangan
 Membuat laporan harian tentang pelaksanaan dan pengukuran hasil pekerjaan dilapangan
 Menerapkan program keselamatan kerja dan kebersihan di lapangan"," Memiliki rasa profesionalisme dalam bekerja
 Memiliki semangat bekerja dalam tekanan
 Mampu bekerja sama dengan team",CV Pison Indograha bergerak dibidang pembangunan dan konstruksi baik sebagai pemborong bangunankontraktor maupun sebagai pemborong bangunan rumahrumah real estate perencanaan pelaksanaan maupun pembuatan gedunggedung jembatanjembatan jalanjalan pengairan irigasi Pengadaan Barang dan Jasa Survey dan Pemetaan baik dengan langsung maupun dengan tidak langsung yang berhubungan dengan itu dan dalam arti kata yang seluasluasnya,3500000.0,5000000.0
Supervisor Sales Lapangan (Jakarta Barat),PT Multi Bangun Abadi,Prov. DKI-Jakarta,"Rp 5,5 juta - Rp 6,2 juta/bulan",2025-04-15,Tidak Disebutkan,"Penjualan dan Pemasaran, Penjualan (Non-Teknis), Penjualan (Teknis)",Supervisor,2 tahun,SMA,Semuanya,"Mencari dan mengidentifikasi pelanggan potensial di wilayah kerja
Menghubungi dan mengunjungi pelanggan potensial untuk menawarkan produk
Menyampaikan informasi manfaat dan keunggulan produk atau jasa perusahaan kepada pelanggan 
Memberikan deskripsi kerja dengan baik kepada tim
Menumbuhkan semangat kerja kepada tim Sales
Memberikan arahan kepada tim secara berkala
Melakukan pengawasan dan evaluasi atas kinerja tim Sales
Membantu tim menyelesaikan berbagai persoalannya di lapangan
Mempertanggungjawabkan kinerja tim kepada atasan","Pendidikan min SMASMK
Berpengalaman posisi Supervisor Sales max 2 tahun
Mampu mempelajari dan memahami berbagai deskripsi pekerjaan dengan mudah
Terbiasa dengan kebijakan perusahaan dan pedoman hukum di lapangan
Memiliki kemampuan interpersonal yang baik
Memiliki skill kepemimpinan mempengaruhi orang
Berpengalaman bekerja dalam tim",Berdiri pada Juni 2004 PT Multi Bangun Abadi MBA adalah anak perusahaan dari Koperasi Karyawan XL KopKar XL yang fokus pada Manpower Supply dan Managed Service Sumber Daya Manusia Pada tahun 2010 MBA mulai menyediakan bisnis baru sebagai dealer distributor dan agregator nasional untuk topup saldo dan PPOB Human Connection lainnya Sebagai upaya memperkuat bisnis intinya pada tahun 2020 MBA meluncurkan layanan baru sebagai Training Provider Human Development Solusi terintegrasi kami dilengkapi dengan MyMBA sistem pemantauan terintegrasi yang memungkinkan pemantauan kerja dan menyederhanakan interaksi pelanggan,5500000.0,6200000.0
TEKNISI AC & CHILLER,CV Davindo Anugrah Unggul,Surabaya,"Rp 3 juta - Rp 3,5 juta/bulan",2025-04-15,Tidak Disebutkan,"Teknik, Lainnya, Teknisi, Teknik, Mesin, Teknik, Umum, Teknik, Elektro",Pemula / Staf,2 tahun,"S1, D3, SMA","Teknik Elektro, Teknik Lainnya, Teknik Mesin"," Melakukan trouble shooting AC  Chiller
 Bisa melakukan pengelasan
 Melakukan maintenance AC  Chiller
 Membuat laporan hasil pekerjaan
 Mempresentasikan hasil pekerjaan kepada management  customer"," Pengalaman di bidang AC  Chiller minimal 2 tahun
 Minimal lulusan SMASMK
 Pengalaman dalam project industri  building
 Wajib memiliki sertifikat BNSPKEMNAKER Teknik PendinginTata UdaraRefrigerasi
 Bisa bahasa Inggris minimal pasif
 Jujur  Bertanggung jawab
 Teliti  bisa bekerja secara team
 Bisa membuat laporan pekerjaan  time sheet
 Pekerja keras  mau belajar
 Memiliki kendaraan sendiri dan SIM C

Surat Lamaran Kerja dapat dikirimkan ke alamat 
CV Davindo Anugrah Unggul
Ruko Klampis Megah Blok C No 35
Jl Klampis  Surabaya
Telp  0315961832",CV Davindo Anugrah Unggul merupakan Mechanical and electrical Supplier yang berkembang cepat dan dinamis di Jawa Timur CV Davindo Anugrah Unggul sebagai Authorized Dealer dari produk elektronik kelas dunia antara lain seperti Daikin McQuay Mitsubishi Electric amp Eaton Kami senantiasa berekspansi secara bisnis dengan mengutamakan kualitas kinerja perusahaan yang kredibel dan mengutamakan quotcustomer trust and satisfaction,3000000.0,3500000.0
E-COMMERCE STAFF,PT Simed Prakarsa Indonesia,Jakarta Pusat,Rp 4 juta - Rp 5 juta/bulan,2025-04-15,Tidak Disebutkan,"Social Media Specialist, Administrasi","Pemula / Staf, Staf Senior, Supervisor",>5 tahun,"S1, D3","Periklanan Kreatif, Teknologi Informasi, TV dan Film","Deskripsi Pekerjaan
Mengelola akun toko online di platform ecommerce Shopee Tokopedia Tiktok Shop dan sejenisnya
Melakukan upload dan update produk secara berkala
Mengoptimalkan tampilan toko dan halaman produk
Berkoordinasi dengan admin untuk menangani proses pemesanan pengiriman dan pelayanan pelanggan
Melaksanakan dan memantau program promosi atau campaign di platform ecommerce
Mengelola konten untuk setiap social media platform
Memastikan promosi selaras diberbagai media seperti media cetak video multimedia media sosial juga web
Memastikan foto produk baik untuk ditayangkan berdasarkan positioning dalam promosi media sosial web dan ecommerce
Mandiri dalam mengembangkan materi seperti copywriting script storyboard keyword dan desain grafis
Memiliki kemampuan untuk mengelola  web maintenance
Berkomunikasi dengan atasan untuk memastikan pesan komunikasi selaras diberbagai media
Mengetahui dasar dari pengelolaan wordpress
Mengetahui cara penggunaan adobe photoshop illustrator corel ataupun premiere
mahami SEO dan mampu menyajikan data analisis Google dan media sosial
Memahami Media Sosial 
Membuat laporan monthly report mengenai performa digital","Kualifikasi
Pendidikan minimal S1 diutamakan lulusan Teknik InformatikaSistem InformasiDesign Grafis
Memiliki pengalaman minimal 2 tahun di bidang pengelolaan akun ecommerce
Menguasai operasional dan fiturfitur marketplace seperti Shopee TokopediaTiktok Shop dll
Memiliki kemampuan komunikasi yang baik teliti dan bertanggung jawab
Mampu bekerja secara individu maupun dalam tim",Pada tanggal 28 November 1982 PT Farmed Indonesia berganti nama menjadi PT SIMED PRAKARSA INDONESIA dan bergerak dalam bidang distribusi pemanas air  1 Pemanas air tenaga surya merk SOLAHART  HANDAL 2 Pemanas air untuk kolam renang Raypak Merk COPPERTERM 3 Filter air merk HANDAL 4 Peralatan Mesin Kitchen  Laundry merk RENZACCI Pada tanggal 14 Febuari 1994 PT SIMED PRAKARSA INDONESIA mendirikan Cabang di Surabaya  Bali dan kemudian dilanjutkan pada tanggal 21 Juli 1995 mendirikan Cabang di Bandung untuk lebih memperluas jaringan pemasaran Yang terbaru sejak 19 Maret 2015 PT Simed Prakarsa Indonesia memiliki produk baru yang berwawasan futuristic yaitu Solar Cell dengan Inverter merk Goodwe dan solar cell merk HiCOP Hingga saat ini PT SIMED PRAKARSA INDONESIA telah memiliki 4 cabang dan menunjuk beberapa subdealer yang tersebar di Jabodetabek Tangerang Bandung Bali dan Surabaya Dealer tersebut bertanggung jawab juga terhadap penjualan dan after sales service kepada pelanggan,4000000.0,5000000.0
Sales Perbankan (Penempatan Bank Pemerintah),PT Puriasri Bhaktikarya,Prov. DKI-Jakarta,"Rp 4,5 juta - Rp 6,5 juta/bulan",2025-04-15,Tidak Disebutkan,Penjualan dan Pemasaran,Pemula / Staf,-,"S2, S1",Semuanya,"Menawarkan produk kredit konsumtif atau produktif kepada calon nasabah sesuai target yang ditentukan
Membangun dan menjaga hubungan baik dengan nasabah serta jaringan mitra di lapangan
Melakukan survei kelayakan calon debitur dan mengumpulkan dokumen pendukung pengajuan kredit
Melaporkan progres penjualan dan pencapaian target secara berkala kepada supervisor
Memastikan kepatuhan terhadap prosedur dan kebijakan bank dalam proses penjualan dan seleksi nasabah
Penempatan Bank DKI Jabodetabek","Pendidikan minimal D3 dengan IPK mnimal 250400
Usia 2135 tahun
Memiliki SIMC dan kendaraan roda 2
Siap bekerja dengan target",PT Puriasri Bhaktikarya atau disingkat PT PaBk adalah perusahaan swasta nasional yang didirikan padatahun 1992 merupakan kelompok usaha Yayasan Kesejahteraan Pensiunan Bank Exim dengan kegiatan usaha di Bisnis Alih Daya Training dan Consulting,4500000.0,6500000.0
Sales,PT Hakiki Donarta,Surabaya,Gaji di atas ekspektasi,2025-04-15,Tidak Disebutkan,Penjualan (Teknis),Pemula / Staf,-,S1,"Lainnya, Kedokteran Hewan","Mencari customer baru
menawarkan barang
mempromosikan barang baru
sebagai product communicator","Pria 
Usia Maks 35 Tahun
Pendidikan Min S1 Peternakan
Menguasai Bahasa Inggris Aktif
Mampu bekerja dalam Team ataupun Individu
Memiliki kemampuan presentasi yang bagus
Mampu bekerja dalam target dan bertanggung jawab atas pencapaian target penjualan
Jujur Cekatan Sehat dan Bertanggung Jawab
Memiliki SIM A",We are a company specialized in food and beverage ingredients The company is family owned and it is entering the era of the 3rd generation And todays Hakiki is so much more As values and behaviors around food have changed so have we Today were the leading food ingredients provider of global and international brands We help people to enjoy the goodness of food,,
OPERATIONAL HEAD,PT BPR Kredit Mandiri Indonesia,Depok,Rp 5 juta - Rp 7 juta/bulan,2025-04-15,Tidak Disebutkan,Operasi Perbankan,Supervisor,3 tahun,S1,"Akuntansi, Ekonomi, Riset Operasi","Pendidikan Minimal S1 semua jurusan
Memiliki pengalaman Sebagai Head Operasional Bank  Finance minimal 2 Tahun
Memiliki jiwa Leadership yang baik
Memahami alur kerja Operasional BANK  Finance
Mampu berkomunikasi dengan beberapa departemen","Bertanggung jawab atas kelancaran Operasional Cabang
Melaksanakan pemeriksaan dokumen  aplikasi pengajuan pembiayaan kredit
Melakukan kontrol kegiatan atau aktivitas di cabang
Berkoordinasi dengan Kepala Cabang terkait proses kerja guna untuk meningkatkan asset cabang
Melaksanakan evaluasi tam guna meningkatkan pelayanan terbaik
Menjalin hubungan dengan pihak Notaris sebagai partner kerja",BPR Kredit Mandiri Indonesia adalah sebuah lembaga keuangan yang berdiri sejak tahun 2007 dan terfokus untuk menghimpun dana dari masyarakat dalam bentuk deposito dan tabungan serta menyalurkan dana dalam bentuk kredit kepada masyarakat dalam rangka meningkatkan taraf hidup rakyat Indonesia ke arah yang lebih baik,5000000.0,7000000.0
Research and Development,PT Hakiki Donarta,Surabaya,Gaji di atas ekspektasi,2025-04-15,Tidak Disebutkan,Riset,Pemula / Staf,-,S1,"Bioteknologi, Teknik Kimia, Teknologi Pangan","1 Membuat perencanaan dan melakukan evaluasi kerja
2 Bertanggung jawab terhadap pelaksanaan proses analisa dan approval hasil hasil pengujian sample Bahan Baku
3 Menerima permintaan untuk membuat sampel baru dan trial formula","  Berpendidikan S1 teknologi pangan dengan IPK min 275
 PriaWanita
 Jujur teliti tegas dan mampu bekerja sama dalam tim
 Memiliki pemahaman yang baik tentang teknologi pangan terutama Hydrocolloid
 Spesifikasi Teknis
1 Memiliki pengetahuan bahan pangan kimia pangan mikrobiologi pangan serta teknologi pengolahan
2 Kreatif inovatif serta terstruktur
3 Mampu melakukan analisa pangan dan menggunakan instrumen analisa dengan baik
4 Mampu menyusun time frame untuk pengerjaan proyek baru yang efisien secara biaya dan waktu
5 Mampu berpikir logis dan memiliki kemampuan problem solving yang baik",We are a company specialized in food and beverage ingredients The company is family owned and it is entering the era of the 3rd generation And todays Hakiki is so much more As values and behaviors around food have changed so have we Today were the leading food ingredients provider of global and international brands We help people to enjoy the goodness of food,,
SEKRETARIS DIREKTUR,PT Asuransi Ramayana Tbk,Prov. DKI-Jakarta,Gaji di atas ekspektasi,2025-04-15,Tidak Disebutkan,Sekretaris,Pemula / Staf,-,"S1, D3",Sekretaris,Well manner  having Great Hospitality Good Ethics Full of Initiative Nimble  Agile Problem Solver having strong desire to grow and learn,"DIBUTUHKAN SEGERA
Kami adalah Perusahaan Asuransi Umum Swasta Nasional yang telah Go Public sejak tahun 1990 memiliki kinerja keuangan sangat baik berkembang cukup pesat memiliki Kantor Cabang dan Kantor Perwakilan di seluruh Indonesia sedang membutuhkan 
SEKRETARIS DIREKTUR
Persyaratan
Usia 23  25 tahun 
Pendidikan Minimal D3  S1 Semua Jurusan
Berkepribadian dan Berkarakter baik berpenampilan rapi rapi bisa make up  hair do  profesional
Sopan  ramah etika baik inisiatif tinggi cekatan pemecah masalah memiliki keinginan kuat untuk tumbuh dan belajar
Mampu berkomunikasi dengan baik dalam Bahasa Indonesia dan bahasa Inggris kemampuan bahasa asing lainnya merupakan nilai tambah
Terbuka untuk Fresh Graduate
Persyaratan Dokumen
Surat Lamaran Pekerjaan
Daftar Riwayat Hidup Curriculum Vitae
Copy Ijazah TerakhirSurat Keterangan Lulus SKL beserta Transkrip Nilai
Copy Kartu Tanda Penduduk KTP
Foto Terbaru Full Body dan pass photo berwarna 3x4 cm",Kami adalah Perusahaan Asuransi Umum Swasta Nasional yang telah Go Public sejak tahun 1990 memiliki kinerja keuangan sangat baik berkembang cukup pesat memiliki Kantor Cabang dan Kantor Perwakilan di seluruh Indonesia Perusahaan Publik berskala besar  ternama bergerak dibidang Asuransi Kerugian terdaftar di Bursa Efek Indonesia yang berlokasi di Jakarta Pusat dan mempunyai 31 Kantor Cabang  15 Kantor Perwakilan diseluruh Indonesia,,
Cleaning Service,PT Mitra Langgeng Sejati,Jakarta Selatan,Gaji di atas ekspektasi,2025-04-15,Tidak Disebutkan,Pekerjaan Umum,Pemula / Staf,-,SMA,Semuanya,"Membersihkan area kerja dan umum termasuk lantai dinding kaca dan furniture
Membersihkan dan menjaga kebersihan toilet dan fasilitas umum lainnya
Membuang sampah dengan benar dan bertanggung jawab
Merawat peralatan kebersihan agar tetap dalam kondisi baik
Melakukan pembersihan mendalam sesuai kebutuhan seperti membersihkan sofa karpet dan jendela","Minimal SMK  sederajat
Mampu bekerja mandiri dan tim
Memiliki kemampuan komunikasi yang baik dan sopan
Memiliki pengalaman cleaning service lebih diutamakan 
Bersedia ditempatkan di Bintaro",PT Mitra Langgeng Sejati Mitra Indonesia terbentuk pada tahun 2000 dan sejak itu terus mengembangkan kualitasnya Mitra Indonesia merupakan One Stop Human Capital Management Consultant yang hadir untuk memahami dan memberikan solusi yang akurat dengan kebutuhan setiap perusahaan dalam mengelola dan menggerakkan organisasi dan sumber daya manusianya yang mengandalkan prinsipprinsip Human Capital Management secara efektif dan efisien menuju sasaran perusahaan Berbagai alternatif solusi disediakan oleh Mitra Indonesia untuk membantu perusahaan meningkatkan kinerja organisasinya Melalui layananlayanan solusi bisnis Placement Penempatan Outsourcing Management Manajemen Alih Daya Customized Soft Skills Training Pelatihan dan Business Management Consultancy Konsultasi Manajemen Mitra Indonesia siap memberikan result yang terbaik Sudah menjadi komitmen Mitra Indonesia untuk selalu memberikan hasil kerja yang optimal dan secara rutin meningkatkannya karena Mitra Indonesia senantiasa menjaga kepercayaan yang telah diberikan oleh Klien,,
